Country,Country Code,Indicator,Indicator Code,Year,Value
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,4726.506755
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2000,1138138100
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,68.911
Belize,BLZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,3.067439669
Belize,BLZ,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,10.00154847
Belize,BLZ,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,20.09088535
Benin,BEN,"Population, total",SP.POP.TOTL,2000,7221619
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.857714205
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,487.4241414
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,2000,3519991440
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,56.594
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,4.165404423
Benin,BEN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,-10.56854828
Benin,BEN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,-10.58255346
Bermuda,BMU,"Population, total",SP.POP.TOTL,2000,61550
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,9.317156411
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,56542.95695
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,2000,3480219000
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,78.251
Bermuda,BMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Bermuda,BMU,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,
Bermuda,BMU,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,
Bhutan,BTN,"Population, total",SP.POP.TOTL,2000,596863
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.355068382
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,771.9249114
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2000,460733418.4
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,61.842
Bhutan,BTN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,4.012120811
Bhutan,BTN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,3.270672469
Bhutan,BTN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,4.170498697
Bolivia,BOL,"Population, total",SP.POP.TOTL,2000,8606326
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,2.507810815
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,975.7770604
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,2000,8397855485
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,62.057
Bolivia,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,4.608229989
Bolivia,BOL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,15.04061106
Bolivia,BOL,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,4.669918431
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,2000,4159771
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.414315988
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1338.480596
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,2000,5567772769
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,75.292
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
